"id","title","content","created"
"ce20a033-973a-4128-ac07-e8c706794106","Note title 1","I've never seen a more beautiful brandy glass filled with wine.","2023-03-08 10:03:43"
"9e64d960-be31-4fbf-937d-08fa84bdddc5","Note title 2","I've never seen a more beautiful brandy glass filled with wine.","2023-02-28 07:02:36"
"1e562f79-e054-4d56-8e4b-5d04bb9c6d02","Note title 3","Kevin embraced his ability to be at the wrong place at the wrong time.","2023-04-11 10:04:11"
"4c951c20-6f7b-49d6-a7ec-1f40a80b5fe2","Note title 4","He found rain fascinating yet unpleasant.","2023-03-13 05:03:47"
"681b5058-1d32-48ea-bd9e-841e94e4f792","Note title 5","He liked to play with words in the bathtub.","2023-03-03 03:03:44"
"0d94cf14-d30e-4062-b316-dedbcd76dcdc","Note title 6","Written warnings in instruction manuals are worthless since rabbits can't read.","2023-03-09 03:03:43"
"890442e1-62f1-4e49-b2b1-df788774df0d","Note title 7","Homesickness became contagious in the young campers' cabin.","2023-03-06 09:03:57"
"07c7af00-837b-44d9-9bc4-16e9a3d0b920","Note title 8","Today arrived with a crash of my car through the garage door.","2023-01-10 01:01:41"
"fa6ac001-7d7c-4696-ba9d-240f6683c035","Note title 9","He went back to the video to see what had been recorded and was shocked at what he saw.","2023-03-07 02:03:53"
"05b0e45d-e22e-48bf-b2d0-6b2153630c64","Note title 10","It was the best sandcastle he had ever seen.","2023-03-06 12:03:16"
"09f6f0c4-7a06-4adc-81a1-8e8dea42c1db","Note title 11","Acres of almond trees lined the interstate highway which complimented the crazy driving nuts.","2023-04-14 07:04:24"
"c4972e4f-a6a3-4f7b-9dd9-6192e3f1d298","Note title 12","Nobody has encountered an explosive daisy and lived to tell the tale.","2023-01-05 11:01:53"
"6b88d398-e687-4171-ab08-30377775620d","Note title 13","The sight of his goatee made me want to run and hide under my sister-in-law's bed.","2023-03-15 08:03:35"
"8572dc1d-9370-4241-8dbe-c15e4842d4f8","Note title 14","I liked their first two albums but changed my mind after that charity gig.","2023-02-07 06:02:18"
"8175abfa-56ba-4309-9896-86ed432a1b6f","Note title 15","Acres of almond trees lined the interstate highway which complimented the crazy driving nuts.","2023-04-24 04:04:45"
"3a1a9296-b08f-4e7e-bbcf-91054be7568a","Note title 16","Buried deep in the snow","2023-04-03 07:04:49"
"28706bb2-32ea-44ed-be0a-43d7be1aef53","Note title 17","It was the best sandcastle he had ever seen.","2023-04-12 05:04:16"
"295065b1-8ac8-4920-8c2e-57e583ae4356","Note title 18","The sight of his goatee made me want to run and hide under my sister-in-law's bed.","2023-02-03 12:02:18"
"6a4a9558-85bc-45c8-89c1-06adf97292de","Note title 19","Acres of almond trees lined the interstate highway which complimented the crazy driving nuts.","2023-01-30 02:01:33"
"f1b7e413-4dc4-4942-ab53-cb32a770198b","Note title 20","Just go ahead and press that button.","2023-04-05 07:04:30"
"336b4c94-4621-4024-8adf-782387b8d047","Note title 21","If you spin around three times","2023-04-17 10:04:23"
"99942201-ac52-4c78-87d0-763dc6e301cf","Note title 22","Written warnings in instruction manuals are worthless since rabbits can't read.","2023-01-15 09:01:46"
"21ec7ab1-f642-4250-90e7-d06369a5a9a7","Note title 23","Homesickness became contagious in the young campers' cabin.","2023-04-30 01:04:56"
"1300537d-eebe-4a44-8eab-c9ec9f64c0e4","Note title 24","The paintbrush was angry at the color the artist chose to use.","2023-04-28 02:04:36"
"1bae2904-e835-4193-8b01-b28df799f590","Note title 25","Written warnings in instruction manuals are worthless since rabbits can't read.","2023-04-27 01:04:17"
"54360023-c7f5-4ebe-99ed-09db6481e423","Note title 26","Please tell me you don't work in a morgue.","2023-04-22 09:04:51"
"227eb412-7322-4bd7-8922-cb4408fad74c","Note title 27","Written warnings in instruction manuals are worthless since rabbits can't read.","2023-01-30 05:01:54"
"41148330-fed9-4175-a580-b5564e4b0a2a","Note title 28","He wore the surgical mask in public not to keep from catching a virus","2023-01-11 12:01:00"
"d780ff09-9766-4980-8eb8-a5d953a08508","Note title 29","If you spin around three times","2023-03-23 02:03:18"
"ca601c62-3278-42b4-99b5-10547f4649d7","Note title 30","He played the game as if his life depended on it and the truth was that it did.","2023-01-07 07:01:13"
"c7766a94-015d-4caa-9833-c6f330ac59a4","Note title 31","He played the game as if his life depended on it and the truth was that it did.","2023-02-28 01:02:52"
"7695a071-6793-4144-ae1e-e77431c59a6c","Note title 32","That must be the tenth time I've been arrested for selling deep-fried cigars.","2023-04-14 01:04:31"
"97c5d28d-1eb3-4e27-a80a-278be05d3786","Note title 33","It's important to remember to be aware of rampaging grizzly bears.","2023-03-19 02:03:03"
"e72064cd-73a8-4620-b633-e8d177d89568","Note title 34","This book is sure to liquefy your brain.","2023-04-12 08:04:54"
"131fe2f6-104c-4e49-9c3e-5e6a0ae2f69e","Note title 35","I want more detailed information.","2023-04-24 10:04:17"
"7bfbf566-e059-49e5-a8b5-7b3588555d2d","Note title 36","He wore the surgical mask in public not to keep from catching a virus","2023-01-19 02:01:21"
